nu,empirical,original_bound,residual_component_bound,tb_norm_bound,preactivation_bound,r_U,outer,component_inner,residual_inner,tb_norm,tb_residual_norm,msa_norm,ffn_norm,msa_res_norm,ffn_res_norm,r_in,r_out
0.1,2.4005744457244873,3.207554629750496,2.8940595588167213,2.5212103162864343,2.493617744498386,0.5379799604415894,1.8588052967236388,7.256001128274088,5.569460469678233,3.5636062622070312,1.341516375541687,0.9664711952209473,0.5533784031867981,1.7189958095550537,1.3639731407165527,0.43954721093177795,0.9577716588973999
0.3111111111111111,2.6355926990509033,4.355536313179599,3.653951992460821,2.8195363770191944,2.7774626694380333,0.7478809356689453,1.337111232960559,7.256001128274088,5.569460469678233,3.5636062622070312,2.077211380004883,0.9664711952209473,0.5533784031867981,1.7189958095550537,1.3639731407165527,0.43954721093177795,0.9577716588973999
0.5222222222222223,2.819547176361084,4.994440763346612,4.075955964613781,2.983574000000815,2.941048153686923,0.9589151740074158,1.042845109876493,7.256001128274088,5.569460469678233,3.5636062622070312,2.8202157020568848,0.9664711952209473,0.5533784031867981,1.7189958095550537,1.3639731407165527,0.43954721093177795,0.9577716588973999
0.7333333333333333,2.9397523403167725,5.4002928788463525,4.343657548526749,3.0869689461607255,3.047141310272511,1.1705045700073242,0.8543324183635974,7.256001128274088,5.569460469678233,3.5636062622070312,3.56669282913208,0.9664711952209473,0.5533784031867981,1.7189958095550537,1.3639731407165527,0.43954721093177795,0.9577716588973999
0.9444444444444444,3.0266568660736084,5.680644972559468,4.5284091639048905,3.158019998954078,3.121408248552434,1.3823940753936768,0.7233827298595887,7.256001128274088,5.569460469678233,3.5636062622070312,4.315016269683838,0.9664711952209473,0.5533784031867981,1.7189958095550537,1.3639731407165527,0.43954721093177795,0.9577716588973999
1.1555555555555557,3.092146873474121,5.8858094874844875,4.663523374902938,3.209821248506216,3.176253604115336,1.5944641828536987,0.6271699363043991,7.256001128274088,5.569460469678233,3.5636062622070312,5.064422607421875,0.9664711952209473,0.5533784031867981,1.7189958095550537,1.3639731407165527,0.43954721093177795,0.9577716588973999
1.3666666666666667,3.1431782245635986,6.042413691013964,4.766606438448643,3.2492499890577258,3.2184009675829364,1.8066513538360596,0.5535102264621792,7.256001128274088,5.569460469678233,3.5636062622070312,5.814528465270996,0.9664711952209473,0.5533784031867981,1.7189958095550537,1.3639731407165527,0.43954721093177795,0.9577716588973999
1.577777777777778,3.184020519256592,6.165854266949053,4.847828624176884,3.2802605565854517,3.251790809543458,2.018918514251709,0.49531469097980885,7.256001128274088,5.569460469678233,3.5636062622070312,6.56510066986084,0.9664711952209473,0.5533784031867981,1.7189958095550537,1.3639731407165527,0.43954721093177795,0.9577716588973999
1.788888888888889,3.2174477577209473,6.265646750818287,4.913470413848646,3.3052858848070072,3.278902594654214,2.2312428951263428,0.4481806988312564,7.256001128274088,5.569460469678233,3.5636062622070312,7.316028118133545,0.9664711952209473,0.5533784031867981,1.7189958095550537,1.3639731407165527,0.43954721093177795,0.9577716588973999
2.0,3.2452914714813232,6.347986818210463,4.9676185469741645,3.325904491278477,3.3013395527200937,2.4436097145080566,0.4092306533497794,7.256001128274088,5.569460469678233,3.5636062622070312,8.067185401916504,0.9664711952209473,0.5533784031867981,1.7189958095550537,1.3639731407165527,0.43954721093177795,0.9577716588973999
