sweep,context,nu,empirical,original_bound,residual_component_bound,tb_norm_bound,preactivation_bound,original_ratio,residual_component_ratio,tb_norm_ratio,preactivation_ratio,r_U,r_in,r_out,msa_norm,ffn_norm,msa_res_norm,ffn_res_norm,tb_norm,tb_residual_norm
asymptotic,image-derived context,2.636650898730358,13.365853309631348,,,,,,,,,,,,,,,,,
asymptotic,image-derived context,3.79269019073225,14.405377388000488,,,,,,,,,,,,,,,,,
asymptotic,image-derived context,5.455594781168517,15.217473983764648,,,,,,,,,,,,,,,,,
asymptotic,image-derived context,7.847599703514611,15.830973625183105,,,,,,,,,,,,,,,,,
asymptotic,image-derived context,11.288378916846883,16.283367156982422,,,,,,,,,,,,,,,,,
asymptotic,image-derived context,16.23776739188721,16.611106872558594,,,,,,,,,,,,,,,,,
asymptotic,image-derived context,23.357214690901213,16.845590591430664,,,,,,,,,,,,,,,,,
asymptotic,image-derived context,33.59818286283781,17.01190185546875,,,,,,,,,,,,,,,,,
asymptotic,image-derived context,48.32930238571752,17.1291561126709,,,,,,,,,,,,,,,,,
asymptotic,image-derived context,69.51927961775606,17.21146011352539,,,,,,,,,,,,,,,,,
asymptotic,image-derived context,100.0,17.269084930419922,,,,,,,,,,,,,,,,,
